,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Aaron Rodgers,GNB,1,1,100.00%,-4,0,.8%,0,0,,0,0,.0%,All Aaron Rodgers red zone receiving plays,RodgAa00
Richard Rodgers,PHI,1,1,100.00%,2,0,1.7%,1,1,100.00%,2,0,3.7%,All Richard Rodgers red zone receiving plays,RodgRi00
John Ross,NYG,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,3.6%,All John Ross red zone receiving plays,RossJo00
Henry Ruggs,LVR,1,0,0.00%,0,0,1.1%,0,0,,0,0,.0%,All Henry Ruggs red zone receiving plays,RuggHe00
Curtis Samuel,WAS,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Curtis Samuel red zone receiving plays,SamuCu00
Eric Saubert,DEN,1,1,100.00%,1,1,1.7%,1,1,100.00%,1,1,3.1%,All Eric Saubert red zone receiving plays,SaubEr00
Boston Scott,PHI,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.7%,All Boston Scott red zone receiving plays,ScotBo02
David Sills,NYG,1,0,0.00%,0,0,1.8%,0,0,,0,0,.0%,All David Sills red zone receiving plays,SillDa01
Ihmir Smith-Marsette,MIN,1,1,100.00%,7,1,1.4%,1,1,100.00%,7,1,3.1%,All Ihmir Smith-Marsette red zone receiving plays,SmitIh00
Shi Smith,CAR,1,1,100.00%,16,0,2.0%,0,0,,0,0,.0%,All Shi Smith red zone receiving plays,SmitSh03
Vyncint Smith,NYJ,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All Vyncint Smith red zone receiving plays,SmitVy00
Diontae Spencer,DEN,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.1%,All Diontae Spencer red zone receiving plays,SpenDi00
Johnny Stanton,CLE,1,1,100.00%,1,1,1.8%,1,1,100.00%,1,1,3.6%,All Johnny Stanton red zone receiving plays,StanJo02
Terence Steele,DAL,1,1,100.00%,1,1,1.0%,1,1,100.00%,1,1,2.8%,All Terence Steele red zone receiving plays,SteeTe01
Stephen Sullivan,CAR,1,0,0.00%,0,0,2.0%,0,0,,0,0,.0%,All Stephen Sullivan red zone receiving plays,SullSt00
Tommy Sweeney,BUF,1,1,100.00%,1,1,.8%,1,1,100.00%,1,1,1.9%,All Tommy Sweeney red zone receiving plays,SweeTo00
Auden Tate,CIN,1,1,100.00%,7,1,1.3%,1,1,100.00%,7,1,2.8%,All Auden Tate red zone receiving plays,TateAu00
Patrick Taylor,GNB,1,1,100.00%,3,0,.8%,1,1,100.00%,3,0,2.0%,All Patrick Taylor red zone receiving plays,TaylPa01
Trent Taylor,CIN,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Trent Taylor red zone receiving plays,TaylTr02
Andrew Thomas,NYG,1,1,100.00%,2,1,1.8%,1,1,100.00%,2,1,3.6%,All Andrew Thomas red zone receiving plays,ThomAn02
Ke'Shawn Vaughn,TAM,1,1,100.00%,5,0,.8%,1,1,100.00%,5,0,1.6%,All Ke'Shawn Vaughn red zone receiving plays,VaugKe00
Tylan Wallace,BAL,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Tylan Wallace red zone receiving plays,WallTy00
James White,NWE,1,1,100.00%,-1,0,1.3%,0,0,,0,0,.0%,All James White red zone receiving plays,WhitJa02
Christian Wilkins,MIA,1,1,100.00%,1,1,1.4%,1,1,100.00%,1,1,2.6%,All Christian Wilkins red zone receiving plays,WilkCh00
Kristian Wilkerson,NWE,1,1,100.00%,6,1,1.3%,1,1,100.00%,6,1,2.9%,All Kristian Wilkerson red zone receiving plays,WilkKr00
Damien Williams,CHI,1,1,100.00%,6,0,1.8%,0,0,,0,0,.0%,All Damien Williams red zone receiving plays,WillDa05
Maxx Williams,ARI,1,1,100.00%,14,1,1.3%,0,0,,0,0,.0%,All Maxx Williams red zone receiving plays,WillMa04
Trent Williams,SFO,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.3%,All Trent Williams red zone receiving plays,WillTr21
Tyrell Williams,DET,1,1,100.00%,7,0,1.7%,0,0,,0,0,.0%,All Tyrell Williams red zone receiving plays,WillTy00
Zach Wilson,NYJ,1,0,0.00%,0,0,1.6%,1,0,0.00%,0,0,4.3%,All Zach Wilson red zone receiving plays,WilsZa00
Brock Wright,DET,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,4.0%,All Brock Wright red zone receiving plays,WrigBr01
