Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Adam Shaheen,CHI,6,4,66.67%,13,3,12.0%,5,3,60.00%,4,3,17.9%,All Adam Shaheen red zone receiving plays,ShahAd00
Chris Thompson,WAS,6,3,50.00%,26,2,9.5%,4,1,25.00%,7,1,16.0%,All Chris Thompson red zone receiving plays,ThomCh03
Deonte Thompson,2TM,6,2,33.33%,23,1,,0,0,,0,0,,All Deonte Thompson red zone receiving plays,ThomDe04
Danny Woodhead,BAL,6,6,100.00%,25,0,8.7%,1,1,100.00%,4,0,2.8%,All Danny Woodhead red zone receiving plays,WoodDa02
Geronimo Allison,GNB,5,2,40.00%,13,0,7.8%,2,0,0.00%,0,0,6.7%,All Geronimo Allison red zone receiving plays,AlliGe01
John Brown,ARI,5,3,60.00%,45,3,7.2%,0,0,,0,0,.0%,All John Brown red zone receiving plays,BrowJo02
Corey Coleman,CLE,5,3,60.00%,13,2,11.6%,2,2,100.00%,5,2,8.0%,All Corey Coleman red zone receiving plays,ColeCo00
Keelan Cole,JAX,5,2,40.00%,17,2,10.2%,3,2,66.67%,17,2,10.3%,All Keelan Cole red zone receiving plays,ColeKe00
Ed Dickson,CAR,5,3,60.00%,23,1,9.1%,2,1,50.00%,7,1,7.7%,All Ed Dickson red zone receiving plays,DickEd00
Austin Ekeler,LAC,5,4,80.00%,29,1,7.5%,2,2,100.00%,6,1,4.5%,All Austin Ekeler red zone receiving plays,EkelAu00
Matt Forte,NYJ,5,3,60.00%,12,1,10.6%,2,1,50.00%,-3,0,8.3%,All Matt Forte red zone receiving plays,FortMa00
D.J. Foster,ARI,5,2,40.00%,1,0,7.2%,2,0,0.00%,0,0,8.3%,All D.J. Foster red zone receiving plays,FostD.01
Devonta Freeman,ATL,5,2,40.00%,25,1,7.5%,1,0,0.00%,0,0,2.9%,All Devonta Freeman red zone receiving plays,FreeDe00
Taylor Gabriel,ATL,5,1,20.00%,4,0,7.5%,3,0,0.00%,0,0,8.6%,All Taylor Gabriel red zone receiving plays,GabrTa00
Pierre Garcon,SFO,5,3,60.00%,20,0,5.9%,0,0,,0,0,.0%,All Pierre Garcon red zone receiving plays,GarcPi00
Ted Ginn,NOR,5,3,60.00%,25,0,7.0%,2,1,50.00%,5,0,6.7%,All Ted Ginn red zone receiving plays,GinnTe00
