,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,-9999
202,Trevor Davis,3TM,26,WR,14,4,4,73,1,2,73,18.3,0,0.0,0,,DaviTr03
203,Nick Foles,JAX,30,QB,4,4,4,23,0,2,18,4.5,5,1.3,0,,FoleNi00
204,Russell Gage,ATL,23,WR,16,4,4,12,0,0,3,0.8,9,2.3,1,4.0,GageRu00
205,Jakeem Grant,MIA,27,WR,10,2,4,5,1,1,5,1.3,0,0.0,0,,GranJa00
206,Ryan Griffin,TAM,30,QB,2,0,4,-1,0,0,-1,-0.3,0,0.0,0,,GrifRy01
207,Mecole Hardman*,KAN,21,WR,16,5,4,17,0,1,16,4.0,1,0.3,0,,HardMe00
208,Damien Harris,NWE,22,RB,2,0,4,12,0,,8,2.0,4,1.0,0,,HarrDa06
209,Deonte Harty*+,NOR,22,WR,14,1,4,31,0,2,29,7.3,2,0.5,0,,HarrDe07
210,Andy Isabella,ARI,23,WR,15,1,4,15,0,0,11,2.8,4,1.0,0,,IsabAn00
211,D'Ernest Johnson,CLE,23,RB,16,0,4,21,0,0,18,4.5,3,0.8,0,,JohnDE04
212,Diontae Johnson,PIT,23,WR,16,12,4,41,0,2,18,4.5,23,5.8,1,4.0,JohnDi01
213,Tyler Lockett,SEA,27,WR,16,16,4,-5,0,0,-5,-1.3,0,0.0,0,,LockTy00
214,Eli Manning,NYG,38,QB,4,4,4,7,0,1,5,1.3,2,0.5,0,,MannEl00
215,Jordan Scarlett,CAR,23,RB,9,0,4,9,0,,4,1.0,5,1.3,0,,ScarJo00
216,Anthony Sherman,KAN,31,RB,16,0,4,9,0,3,9,2.3,0,0.0,0,,SherAn00
217,Jonnu Smith,TEN,24,TE,16,14,4,78,0,2,7,1.8,71,17.8,1,4.0,SmitJo01
218,Adam Thielen,MIN,29,WR,10,10,4,6,1,1,0,0.0,6,1.5,2,2.0,ThieAd00
219,De'Lance Turner,MIA,24,RB,8,0,4,6,0,,1,0.3,5,1.3,0,,TurnDe01
220,Keenan Allen*,LAC,27,WR,16,16,3,16,0,1,13,4.3,3,1.0,0,,AlleKe00
221,Odell Beckham Jr.,CLE,27,WR,16,15,3,10,0,1,4,1.3,6,2.0,1,3.0,BeckOd00
222,A.J. Brown,TEN,22,WR,16,11,3,60,1,2,12,4.0,48,16.0,1,3.0,BrowAJ00
223,Randall Cobb,DAL,29,WR,15,6,3,11,0,0,6,2.0,5,1.7,0,,CobbRa00
224,Patrick DiMarco,BUF,30,FB,16,4,3,7,0,0,1,0.3,6,2.0,0,,DiMaPa00
225,Phillip Dorsett,NWE,26,WR,14,4,3,21,0,1,18,6.0,3,1.0,0,,DorsPh00
226,Evan Engram,NYG,25,TE,8,6,3,7,0,0,6,2.0,1,0.3,0,,EngrEv00
227,Noah Fant,DEN,22,TE,16,11,3,-12,0,0,-12,-4.0,0,0.0,0,,FantNo00
228,Josh Ferguson,WAS,26,RB,2,0,3,9,0,1,9,3.0,0,0.0,0,,FergJo02
229,Taylor Gabriel,CHI,28,WR,9,7,3,20,0,1,20,6.7,0,0.0,0,,GabrTa00
230,Garrett Gilbert,CLE,28,QB,5,0,3,-3,0,,-3,-1.0,0,0.0,0,,GilbGa01
231,Ted Ginn Jr.,NOR,34,WR,16,9,3,18,0,2,16,5.3,2,0.7,0,,GinnTe00
232,Kyle Juszczyk*,SFO,28,FB,12,12,3,7,0,1,2,0.7,5,1.7,0,,JuszKy00
233,John Kelly,LAR,23,RB,4,0,3,9,0,,5,1.7,4,1.3,0,,KellJo00
234,T.J. Logan,TAM,25,FB,12,0,3,10,0,0,6,2.0,4,1.3,0,,LogaT.00
235,David Moore,SEA,24,WR,14,1,3,25,0,1,8,2.7,17,5.7,1,3.0,MoorDa03
236,Nick Mullens,SFO,24,QB,1,0,3,-3,0,,-3,-1.0,0,0.0,0,,MullNi00
237,Senorise Perry,BUF,28,RB,11,0,3,3,0,,0,0.0,3,1.0,1,3.0,PerrSe00
238,Josh Rosen,MIA,22,QB,6,3,3,13,0,0,13,4.3,0,0.0,0,,RoseJo01
239,John Ross,CIN,24,WR,8,8,3,4,0,0,2,0.7,2,0.7,0,,RossJo00
240,Mohamed Sanu,2TM,30,WR,15,12,3,11,0,1,6,2.0,5,1.7,0,,SanuMo00
241,Matt Schaub,ATL,38,QB,6,1,3,-3,0,0,-3,-1.0,0,0.0,0,,SchaMa00
242,Vyncint Smith,NYJ,23,WR,13,4,3,52,1,3,44,14.7,8,2.7,0,,SmitVy00
